DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
03/01/22,2018,20190377,35712,3,ACADIAN GAS PIPELINE SYSTEM,1100 LOUISIANA ST.,HOUSTON,TX,77002,Natural Gas,,LOUISIANA,0,14.425,14.425,790091.31,,,,,,,,,,,,,No,0.004,720.811,0,0,0,0,0,0,0,720.815,0,0,0,0,0,0,0,0,0,0,0.004,720.811,0,0,0,0,0,0,0,720.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,720.811,0,0,0,0,0,0,0,720.815,INITIAL,3/7/2019,3/7/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20190613,35959,21,"ACACIA NATURAL GAS, L.L.C.",1722 ROUTH STREET SUITE 1300,DALLAS,TX,75201,Natural Gas,,TEXAS,0,1.653,1.653,196599,,,,,,,,,,,,,No,0,122.789,0,0,0,0,0,0,0,122.789,0,0,0,0,0,0,0,0,0,0,0,122.789,0,0,0,0,0,0,0,122.789,0,0.612,0,0,0,0,0,0,0,0.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612,0,0,0,0,0,0,0,0.612,0,123.401,0,0,0,0,0,0,0,123.401,INITIAL,3/12/2019,3/12/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Hydrogen Gas,"LOUISIANA, TEXAS","CALIFORNIA, OHIO, TEXAS",0,17.23,17.23,,,,277054,,,,,,,,,,No,0,547.95,0,0,0,0,0,0,0,547.95,0,0,0,0,0,0,0,0,0,0,0,547.95,0,0,0,0,0,0,0,547.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.95,0,0,0,0,0,0,0,547.95,INITIAL,3/8/2019,3/8/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20190304,35625,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Carbon Monoxide,,TEXAS,0,2,2,,,,,,12408,,,,,,,Carbon Monoxide,No,0,89.88,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0,89.88,INITIAL,3/6/2019,3/6/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20190311,35644,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Fuel Gas,,LOUISIANA,0,0.63,0.63,,,,,,0,,,,,,,Fuel Gas,No,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,INITIAL,3/6/2019,3/6/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20190308,35629,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Synthetic Gas,,TEXAS,0,1.66,1.66,,,2877,,,,,,,,,,,No,0,22.45,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0,0,22.45,INITIAL,3/6/2019,3/6/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20191009,36373,180,SPIRE ALABAMA INC.,2101 6TH AVE N,BIRMINGHAM,AL,35203,Natural Gas,,ALABAMA,0,25.88,25.88,,,,,,,,,,,,,,Yes,0,225.87,0,0,0,0,0,0,0,225.87,0,0,0,0,0,0,0,0,0,0,0,225.87,0,0,0,0,0,0,0,225.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.87,0,0,0,0,0,0,0,225.87,INITIAL,3/15/2019,3/15/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20190687,36036,189,"AMERICAN MIDSTREAM (ALATENN), LLC","2103 CITYWEST BLVD. BUILDING 4, SUITE 800",HOUSTON,TX,77042,Natural Gas,"ALABAMA, MISSISSIPPI, TENNESSEE",,0,21.13,21.13,32050,,,,,,,,,,,,,No,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,INITIAL,3/13/2019,3/13/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20190414,35750,207,ALASKA PIPELINE CO,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,AK,99519,Natural Gas,,ALASKA,0,37.243,37.243,,,,,,,,,,,,,,Yes,0,388.72,0,0,0,0,0,0,0,388.72,0,0,0,0,0,0,0,0,0,0,0,388.72,0,0,0,0,0,0,0,388.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.72,0,0,0,0,0,0,0,388.72,INITIAL,3/8/2019,3/8/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2018,20190692,36535,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF","2021 INDUSTRIAL PARK RD., BLDG A",ALEXANDRIA,LA,71302,Natural Gas,,LOUISIANA,0,0,0,188915,,,,,,,,,,,,,No,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,SUPPLEMENTAL,3/13/2019,4/16/2019,7100.2-1 (Rev. 10-2014)
