DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
03/01/22,2019,20200984,37682,3,ACADIAN GAS PIPELINE SYSTEM,1100 LOUISIANA ST.,HOUSTON,TX,77002,Natural Gas,,LOUISIANA,0,25.857,25.857,982481.13,,,,,,,,,,,,,No,0.004,1293.128,0,0,0,0,0,0,0,1293.132,0,0,0,0,0,0,0,0,0,0,0.004,1293.128,0,0,0,0,0,0,0,1293.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1293.128,0,0,0,0,0,0,0,1293.132,INITIAL,3/12/2020,3/12/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Hydrogen Gas,"LOUISIANA, TEXAS","CALIFORNIA, OHIO, TEXAS",0,17.21,17.21,,,,270622.43,,,,,,,,,,No,0,547.42,0,0,0,0,0,0,0,547.42,0,0,0,0,0,0,0,0,0,0,0,547.42,0,0,0,0,0,0,0,547.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.42,0,0,0,0,0,0,0,547.42,INITIAL,3/12/2020,3/12/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200892,37587,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Carbon Monoxide,,TEXAS,0,2,2,,,,,,12221.28,,,,,,,Carbon Monoxide,No,0,89.89,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,89.89,INITIAL,3/12/2020,3/12/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200828,37520,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Fuel Gas,LOUISIANA,,0,0.63,0.63,,,,,,0,,,,,,,Fuel Gas,No,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,INITIAL,3/11/2020,3/11/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200891,37585,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Synthetic Gas,,TEXAS,0,1.66,1.66,,,1617.47,,,,,,,,,,,No,0,22.11,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,22.11,INITIAL,3/12/2020,3/12/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20201206,37911,180,SPIRE ALABAMA INC.,2101 6TH AVENUE NORTH,BIRMINGHAM,AL,35203,Natural Gas,,ALABAMA,0,25.88,25.88,,,,,,,,,,,,,,Yes,0,223.97,0,0,0,0,0,0,0,223.97,0,0,0,0,0,0,0,0,0,0,0,223.97,0,0,0,0,0,0,0,223.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.97,0,0,0,0,0,0,0,223.97,INITIAL,3/14/2020,3/14/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200865,37945,189,"AMERICAN MIDSTREAM (ALATENN), LLC",1501 MCKINNEY STREET SUITE 800,HOUSTON,TX,77010,Natural Gas,"ALABAMA, MISSISSIPPI, TENNESSEE",,0,21.13,21.13,27725,,,,,,,,,,,,,No,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,SUPPLEMENTAL,3/11/2020,3/15/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200733,37419,207,ALASKA PIPELINE CO,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,AK,99519,Natural Gas,,ALASKA,0,39.093,39.093,,,,,,,,,,,,,,Yes,0,387.609,0,0,0,0,0,0,0,387.609,0,0,0,0,0,0,0,0,0,0,0,387.609,0,0,0,0,0,0,0,387.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.609,0,0,0,0,0,0,0,387.609,INITIAL,3/10/2020,3/10/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200939,37636,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF","2021 INDUSTRIAL PARK RD., BLDG A",ALEXANDRIA,LA,71302,Natural Gas,,LOUISIANA,0,0,0,2041,,,,,,,,,,,,,No,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,INITIAL,3/12/2020,3/12/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",5400 WESTHEIMER COURT,HOUSTON,TX,77056,Natural Gas,"CONNECTICUT, MASSACHUSETTS, NEW JERSEY, NEW YORK, OCS-Atlantic, RHODE ISLAND",,3.75,345.79,349.54,705483,,,,,,,,,,,,,No,0,1082.47,0,0,0,0,0,0,0,1082.47,0,48.49,0,0,0,0,0,0,0,48.49,0,1130.96,0,0,0,0,0,0,0,1130.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130.96,0,0,0,0,0,0,0,1130.96,SUPPLEMENTAL,3/13/2020,8/27/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200442,37116,383,AMARILLO NATURAL GAS INC,2915 WEST INTERSTATE 40,AMARILLO,TX,79109,Natural Gas,,"KANSAS, TEXAS",0,0,0,359007,,,,,,,,,,,,,No,0,14.23,0,0,0,0,1.72,0,0,15.95,0,0,0,0,0,0,0,0,0,0,0,14.23,0,0,0,0,1.72,0,0,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.23,0,0,0,0,1.72,0,0,15.95,INITIAL,3/4/2020,3/4/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200507,37182,402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.","1515 Arapahoe Street TOWER 1, SUITE 1600",Denver,CO,80202,Natural Gas,,TEXAS,0,0,0,,,,,,,,,,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56,0,0,0,0,0,0,0,23.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56,0,0,0,0,0,0,0,23.56,0,23.56,0,0,0,0,0,0,0,23.56,INITIAL,3/5/2020,3/5/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,700 LOUISIANA STREET SUITE 700,HOUSTON,TX,77002,Natural Gas,"ARKANSAS, ILLINOIS, INDIANA, IOWA, KANSAS, KENTUCKY, LOUISIANA, MICHIGAN, MISSISSIPPI, MISSOURI, NEBRASKA, OHIO, OKLAHOMA, TENNESSEE, TEXAS, WISCONSIN",MICHIGAN,0,394.76,394.76,1983694.468,,,,,,,,,,,,,No,0,9255.178,0,0,0,0,0,0,0,9255.178,0,0,0,0,0,0,0,0,0,0,0,9255.178,0,0,0,0,0,0,0,9255.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9255.178,0,0,0,0,0,0,0,9255.178,SUPPLEMENTAL,3/12/2020,6/1/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200311,38164,473,ANADARKO PETROLEUM CORP,9950 WOODLOCH FOREST DR SUITE 2800,THE WOODLANDS,TX,77380,Natural Gas,"NEW MEXICO, TEXAS, WYOMING","COLORADO, UTAH, WYOMING",0,0.13,0.13,46898874,0,0,0,0,0,,,,,,,,No,0,332.58,0,0,0,0,0,0,0,332.58,0,0,0,0,0,0,0,0,0,0,0,332.58,0,0,0,0,0,0,0,332.58,0,260.94,0,0,0,0,22.7,0,0,283.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.94,0,0,0,0,22.7,0,0,283.64,0,593.52,0,0,0,0,22.7,0,0,616.22,SUPPLEMENTAL,2/26/2020,7/22/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200800,37492,515,DAKOTA GASIFICATION COMPANY,DAKOTA GASIFICATION COMPANY 1717 EAST INTERSTATE AVENUE,BISMARCK,ND,58503-0564,Synthetic Gas,,NORTH DAKOTA,0,0,0,,,29510.2,,,,,,,,,,,No,0,39.77,0,0,0,0,0,0,0,39.77,0,0,0,0,0,0,0,0,0,0,0,39.77,0,0,0,0,0,0,0,39.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.77,0,0,0,0,0,0,0,39.77,INITIAL,3/11/2020,3/11/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20201052,37752,570,FERNDALE PIPELINE SYSTEM,30 S WACKER DRIVE,CHICAGO,IL,60606,Natural Gas,,WASHINGTON,0,2,2,15428,,,,,,,,,,,,,No,0,36.2,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,36.2,INITIAL,3/13/2020,3/13/2020,7100.2-1 (Rev. 10-2014)
03/01/22,2019,20200222,36886,585,ARGYLE MUNICIPAL GAS SYSTEM,PO BOX 288,ARGYLE,MN,56713,Natural Gas,,MINNESOTA,0,0,0,,,,,,,,,,,,,,Yes,0,2.1,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,2.1,INITIAL,2/18/2020,2/18/2020,7100.2-1 (Rev. 10-2014)
