DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
03/01/22,2020,20211098,39417,3,ACADIAN GAS PIPELINE SYSTEM,1100 LOUISIANA ST.,HOUSTON,TX,77002,Natural Gas,,LOUISIANA,0,25.56,25.56,944318.38,,,,,,,,,,,,,No,0,1293.433,0,0,0,0,0,0,0,1293.433,0,0,0,0,0,0,0,0,0,0,0,1293.433,0,0,0,0,0,0,0,1293.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293.433,0,0,0,0,0,0,0,1293.433,INITIAL,3/14/2021,3/14/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Hydrogen Gas,"LOUISIANA, TEXAS","CALIFORNIA, OHIO, TEXAS",0,17.01,17.01,,,,,,,,,,,,,,No,0,547.34,0,0,0,0,0,0,0,547.34,0,0,0,0,0,0,0,0,0,0,0,547.34,0,0,0,0,0,0,0,547.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.34,0,0,0,0,0,0,0,547.34,INITIAL,3/22/2021,3/22/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20211305,39638,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Carbon Monoxide,,TEXAS,0,1.84,1.84,,,,,,12645.83,,,,,,,Carbon Monoxide,No,0,89.89,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,89.89,INITIAL,3/18/2021,3/18/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20211294,39622,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Fuel Gas,LOUISIANA,,0,0.63,0.63,,,,,,0,,,,,,,Fuel Gas,No,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,INITIAL,3/17/2021,3/17/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20211306,39639,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Synthetic Gas,,TEXAS,0,1.44,1.44,,,1558.02,,,,,,,,,,,No,0,22.11,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,22.11,INITIAL,3/18/2021,3/18/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20211181,39501,180,SPIRE ALABAMA INC.,605 RICHARD ARRINGTON JR BLVD N,BIRMINGHAM,AL,35203,Natural Gas,,ALABAMA,0,27.66,27.66,,,,,,,,,,,,,,Yes,0,222.521,0,0,0,0,0,0,0,222.521,0,0,0,0,0,0,0,0,0,0,0,222.521,0,0,0,0,0,0,0,222.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.521,0,0,0,0,0,0,0,222.521,INITIAL,3/15/2021,3/15/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20210467,38743,189,"BBT ALATENN, LLC","BLACK BEAR TRANSMISSION, LLC 1501 MCKINNEY, SUITE 800",HOUSTON,TX,77010,Natural Gas,"ALABAMA, MISSISSIPPI, TENNESSEE",,0,21.13,21.13,28619784,,,,,,,,,,,,,No,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,INITIAL,3/3/2021,3/3/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20210433,38707,207,ALASKA PIPELINE CO,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,AK,99519,Natural Gas,,ALASKA,0,39.745,39.745,,,,,,,,,,,,,,Yes,0,387.632,0,0,0,0,0,0,0,387.632,0,0,0,0,0,0,0,0,0,0,0,387.632,0,0,0,0,0,0,0,387.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.632,0,0,0,0,0,0,0,387.632,INITIAL,3/2/2021,3/2/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20210494,38773,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF","2021 INDUSTRIAL PARK RD., BLDG A",ALEXANDRIA,LA,71302,Natural Gas,,LOUISIANA,0,0,0,2041,,,,,,1930,,,,,,,No,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,INITIAL,3/4/2021,3/4/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2020,20210710,39791,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",5400 WESTHEIMER COURT,HOUSTON,TX,77056,Natural Gas,"CONNECTICUT, MASSACHUSETTS, NEW JERSEY, NEW YORK, OCS-Atlantic, RHODE ISLAND",,0,351.71,351.71,683748,,,,,,,,,,,,,No,0,1121.48,0,0,0,0,0,0,0,1121.48,0,9.57,0,0,0,0,0,0,0,9.57,0,1131.05,0,0,0,0,0,0,0,1131.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131.05,0,0,0,0,0,0,0,1131.05,SUPPLEMENTAL,3/9/2021,8/27/2021,7100.2-1 (Rev. 10-2014)
