DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
03/01/22,2018,20190377,35712,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,57.204,5.451,22.229,0,84.884,12.398,0.889,1.315,0,14.602,14.56,1.849,1.325,0.337,18.071,114.698,10.414,9.342,0.211,134.665,123.322,7.849,3.613,0,134.784,327.741,0.322,0,0,328.063,0.003,0,0,0,0.003,1.91,0.007,0,0,1.917,3.714,0.005,0.099,0,3.818,0,0,0,0,0,655.55,26.786,37.923,0.548,720.807,0,0,0,0,0,0,655.55,26.786,37.923,0.548,720.807
03/01/22,2018,20190613,35959,21,"ACACIA NATURAL GAS, L.L.C.",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0.008,0.007,0,0,0.015,0.261,0.008,0,0,0.269,3.882,1.358,1.047,0,6.287,33.814,15.659,2.65,0,52.123,56.527,7.568,0,0,64.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.492,24.6,3.697,0,122.789,0,0,0,0,0,0,94.492,24.6,3.697,0,122.789
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,3.76,0,0.18,0,3.94,51.61,9.97,10.05,0,71.63,14.42,19.36,10.53,0,44.31,108.63,52.94,19.85,0,181.42,26.78,0.62,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.2,82.89,40.61,0,328.7,0,0,0,0,0,0,205.2,82.89,40.61,0,328.7
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.09,1.59,0.06,0,1.74,10.31,8.23,15.3,0,33.84,48.24,17.48,16.96,0,82.68,5.61,11.94,4.79,0,22.34,5.43,4.47,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.68,43.71,37.11,0,150.5,0,0,0,0,0,0,69.68,43.71,37.11,0,150.5
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0.02,0.33,0.06,0.41,0.93,0.29,3.73,1.94,6.89,0.83,2.3,3.51,0.17,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,2.61,7.57,2.17,14.11,0,0,0,0,0,0,1.76,2.61,7.57,2.17,14.11
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.12,1.92,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.92,0,2.04,0,0,0,0,0,0,0,0.12,1.92,0,2.04
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,1.73,13.63,8.74,0,24.1,7.62,5.7,4.35,0,17.67,1.73,0.63,0.29,0,2.65,0.07,4.46,3.68,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,24.42,17.06,0,52.63,0,0,0,0,0,0,11.15,24.42,17.06,0,52.63
03/01/22,2018,20190304,35625,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0.71,1.19,4.48,0,6.38,27.23,16.39,28.52,0,72.14,8.33,1.88,1.14,0,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.27,19.46,34.14,0,89.87,0,0,0,0,0,0,36.27,19.46,34.14,0,89.87
03/01/22,2018,20190311,35644,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,1.31,0.45,2.68,0,4.44,4.63,0.82,0.09,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,1.27,2.77,0,9.98,0,0,0,0,0,0,5.94,1.27,2.77,0,9.98
03/01/22,2018,20190308,35629,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0.53,0.24,5.41,0,6.18,4.43,4.83,2.93,0,12.19,0,0.01,0.02,0,0.03,0,0.97,3.1,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,6.05,11.46,0,22.47,0,0,0,0,0,0,4.96,6.05,11.46,0,22.47
