DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_ZIP,HQ_ADDRESS_STREET,HQ_ADDRESS_CITY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_STATE,HQ_ADDRESS_ZIP,COMMODITY,STOP,OPERATOR_TYPE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_COATED,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_COATED,MMILES_PLASTIC,MMILES_CI,MMILES_DI,MMILES_CU,MMILES_OTHER,MMILES_RCI,MMILES_TOTAL,NUM_SRVS_STEEL_UNP_BARE,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_PLASTIC,NUM_SRVS_CI,NUM_SRVS_DI,NUM_SRVS_CU,NUM_SRVS_OTHER,NUM_SRVS_RCI,NUM_SRVCS_TOTAL,MMILES_STEEL_UNK,MMILES_STEEL_LT2IN,MMILES_STEEL_2IN_TO_4IN,MMILES_STEEL_4IN_TO_8IN,MMILES_STEEL_8IN_TO_12IN,MMILES_STEEL_GT12IN,MMILES_STEEL_TOTAL,MMILES_DI_UNK,MMILES_DI_LT2IN,MMILES_DI_2IN_TO_4IN,MMILES_DI_4IN_TO_8IN,MMILES_DI_8IN_TO_12IN,MMILES_DI_GT12IN,MMILES_DI_TOTAL,MMILES_CU_UNK,MMILES_CU_LT2IN,MMILES_CU_2IN_TO_4IN,MMILES_CU_4IN_TO_8IN,MMILES_CU_8IN_TO_12IN,MMILES_CU_GT12IN,MMILES_CU_TOTAL,MMILES_CI_WR_UNK,MMILES_CI_WR_LT2IN,MMILES_CI_WR_2IN_TO_4IN,MMILES_CI_WR_4IN_TO_8IN,MMILES_CI_WR_8IN_TO_12IN,MMILES_CI_WR_GT12IN,MMILES_CI_WR_TOTAL,MMILES_PLASTIC_UNK,MMILES_PLASTIC_LT2IN,MMILES_PLASTIC_2IN_TO_4IN,MMILES_PLASTIC_4IN_TO_8IN,MMILES_PLASTIC_8IN_TO_12IN,MMILES_PLASTIC_GT12IN,MMILES_PLASTIC_TOTAL,MMILES_PE_UNK,MMILES_PE_LT2IN,MMILES_PE_2IN_TO_4IN,MMILES_PE_4IN_TO_8IN,MMILES_PE_8IN_TO_12IN,MMILES_PE_GT12IN,MMILES_PE_TOTAL,MMILES_ABS_UNK,MMILES_ABS_LT2IN,MMILES_ABS_2IN_TO_4IN,MMILES_ABS_4IN_TO_8IN,MMILES_ABS_8IN_TO_12IN,MMILES_ABS_GT12IN,MMILES_ABS_TOTAL,MMILES_OTH_PLSTC_UNK,MMILES_OTH_PLSTC_LT2IN,MMILES_OTH_PLSTC_2IN_TO_4IN,MMILES_OTH_PLSTC_4IN_TO_8IN,MMILES_OTH_PLSTC_8IN_TO_12IN,MMILES_OTH_PLSTC_GT12IN,MMILES_OTH_PLSTC_TOTAL,MMILES_OTHER_UNK,MMILES_OTHER_LT2IN,MMILES_OTHER_2IN_TO_4IN,MMILES_OTHER_4IN_TO_8IN,MMILES_OTHER_8IN_TO_12IN,MMILES_OTHER_GT12IN,MMILES_OTHER_TOTAL,MMILES_OTHER_MATERIAL_DETAIL,MMILES_RCI_UNK,MMILES_RCI_LT2IN,MMILES_RCI_2IN_TO_4IN,MMILES_RCI_4IN_TO_8IN,MMILES_RCI_8IN_TO_12IN,MMILES_RCI_GT12IN,MMILES_RCI_TOTAL,MMILES_UNK_TOTAL,MMILES_LT2IN_TOTAL,MMILES_2IN_TO_4IN_TOTAL,MMILES_4IN_TO_8IN_TOTAL,MMILES_8IN_TO_12IN_TOTAL,MMILES_GT12IN_TOTAL,MMILES_PART_B2_TOTAL,AVERAGE_LENGTH,NUM_SRVS_STEEL_UNK,NUM_SRVS_STEEL_LT1IN,NUM_SRVS_STEEL_1IN_TO_2IN,NUM_SRVS_STEEL_2IN_TO_4IN,NUM_SRVS_STEEL_4IN_TO_8IN,NUM_SRVS_STEEL_GT8IN,NUM_SRVS_STEEL_TOTAL,NUM_SRVS_DI_UNK,NUM_SRVS_DI_LT1IN,NUM_SRVS_DI_1IN_TO_2IN,NUM_SRVS_DI_2IN_TO_4IN,NUM_SRVS_DI_4IN_TO_8IN,NUM_SRVS_DI_GT8IN,NUM_SRVS_DI_TOTAL,NUM_SRVS_CU_UNK,NUM_SRVS_CU_LT1IN,NUM_SRVS_CU_1IN_TO_2IN,NUM_SRVS_CU_2IN_TO_4IN,NUM_SRVS_CU_4IN_TO_8IN,NUM_SRVS_CU_GT8IN,NUM_SRVS_CU_TOTAL,NUM_SRVS_CI_WR_UNK,NUM_SRVS_CI_WR_LT1IN,NUM_SRVS_CI_WR_1IN_TO_2IN,NUM_SRVS_CI_WR_2IN_TO_4IN,NUM_SRVS_CI_WR_4IN_TO_8IN,NUM_SRVS_CI_WR_GT8IN,NUM_SRVS_CI_WR_TOTAL,NUM_SRVS_PLASTIC_UNK,NUM_SRVS_PLASTIC_LT1IN,NUM_SRVS_PLASTIC_1IN_TO_2IN,NUM_SRVS_PLASTIC_2IN_TO_4IN,NUM_SRVS_PLASTIC_4IN_TO_8IN,NUM_SRVS_PLASTIC_GT8IN,NUM_SRVS_PLASTIC_TOTAL,NUM_SRVS_PE_UNK,NUM_SRVS_PE_LT1IN,NUM_SRVS_PE_1IN_TO_2IN,NUM_SRVS_PE_2IN_TO_4IN,NUM_SRVS_PE_4IN_TO_8IN,NUM_SRVS_PE_GT8IN,NUM_SRVS_PE_TOTAL,NUM_SRVS_ABS_UNK,NUM_SRVS_ABS_LT1IN,NUM_SRVS_ABS_1IN_TO_2IN,NUM_SRVS_ABS_2IN_TO_4IN,NUM_SRVS_ABS_4IN_TO_8IN,NUM_SRVS_ABS_GT8IN,NUM_SRVS_ABS_TOTAL,NUM_SRVS_OTH_PLSTC_UNK,NUM_SRVS_OTH_PLSTC_LT1IN,NUM_SRVS_OTH_PLSTC_1IN_TO_2IN,NUM_SRVS_OTH_PLSTC_2IN_TO_4IN,NUM_SRVS_OTH_PLSTC_4IN_TO_8IN,NUM_SRVS_OTH_PLSTC_GT8IN,NUM_SRVS_OTH_PLSTC_TOTAL,NUM_SRVS_OTHER_UNK,NUM_SRVS_OTHER_LT1IN,NUM_SRVS_OTHER_1IN_TO_2IN,NUM_SRVS_OTHER_2IN_TO_4IN,NUM_SRVS_OTHER_4IN_TO_8IN,NUM_SRVS_OTHER_GT8IN,NUM_SRVS_OTHER_TOTAL,NUM_SRVS_OTHER_MATERIAL_DETAIL,NUM_SRVS_RCI_UNK,NUM_SRVS_RCI_LT1IN,NUM_SRVS_RCI_1IN_TO_2IN,NUM_SRVS_RCI_2IN_TO_4IN,NUM_SRVS_RCI_4IN_TO_8IN,NUM_SRVS_RCI_GT8IN,NUM_SRVS_RCI_TOTAL,NUM_SRVS_UNK_TOTAL,NUM_SRVS_LT1IN_TOTAL,NUM_SRVS_1IN_TO_2IN_TOTAL,NUM_SRVS_2IN_TO_4IN_TOTAL,NUM_SRVS_4IN_TO_8IN_TOTAL,NUM_SRVS_GT8IN_TOTAL,NUM_SRVS_PART_B3_TOTAL,MMILES_BY_DCD_UNK,MMILES_BY_DCD_PRE1940,MMILES_BY_DCD_1940_TO_1949,MMILES_BY_DCD_1950_TO_1959,MMILES_BY_DCD_1960_TO_1969,MMILES_BY_DCD_1970_TO_1979,MMILES_BY_DCD_1980_TO_1989,MMILES_BY_DCD_1990_TO_1999,MMILES_BY_DCD_2000_TO_2009,MMILES_BY_DCD_2010_TO_2019,MMILES_BY_DCD_2020_TO_2029,MMILES_BY_DCD_TOTAL,NUM_SRVS_BY_DCD_UNK,NUM_SRVS_BY_DCD_PRE1940,NUM_SRVS_BY_DCD_1940_TO_1949,NUM_SRVS_BY_DCD_1950_TO_1959,NUM_SRVS_BY_DCD_1960_TO_1969,NUM_SRVS_BY_DCD_1970_TO_1979,NUM_SRVS_BY_DCD_1980_TO_1989,NUM_SRVS_BY_DCD_1990_TO_1999,NUM_SRVS_BY_DCD_2000_TO_2009,NUM_SRVS_BY_DCD_2010_TO_2019,NUM_SRVS_BY_DCD_2020_TO_2029,NUM_SRVS_BY_DCD_TOTAL,TOTAL_LEAKS_COR_MAINS,TOTAL_LEAKS_NF_MAINS,TOTAL_LEAKS_EX_MAINS,TOTAL_LEAKS_OF_DAM_MAINS,TOTAL_LEAKS_MAT_WELD_MAINS,TOTAL_LEAKS_EQ_MAINS,TOTAL_LEAKS_OP_MAINS,TOTAL_LEAKS_OT_MAINS,TOTAL_LEAKS_COR_SRVS,TOTAL_LEAKS_NF_SRVS,TOTAL_LEAKS_EX_SRVS,TOTAL_LEAKS_OF_DAM_SRVS,TOTAL_LEAKS_MAT_WELD_SRVS,TOTAL_LEAKS_EQ_SRVS,TOTAL_LEAKS_OP_SRVS,TOTAL_LEAKS_OT_SRVS,TOTAL_HAZLEAKS_COR_MAINS,TOTAL_HAZLEAKS_NF_MAINS,TOTAL_HAZLEAKS_EX_MAINS,TOTAL_HAZLEAKS_OF_DAM_MAINS,TOTAL_HAZLEAKS_MAT_WELD_MAINS,TOTAL_HAZLEAKS_EQ_MAINS,TOTAL_HAZLEAKS_OP_MAINS,TOTAL_HAZLEAKS_OT_MAINS,TOTAL_HAZLEAKS_COR_SRVS,TOTAL_HAZLEAKS_NF_SRVS,TOTAL_HAZLEAKS_EX_SRVS,TOTAL_HAZLEAKS_OF_DAM_SRVS,TOTAL_HAZLEAKS_MAT_WELD_SRVS,TOTAL_HAZLEAKS_EQ_SRVS,TOTAL_HAZLEAKS_OP_SRVS,TOTAL_HAZLEAKS_OT_SRVS,KNOWN_LEAKS,FED_LAND_LEAKS_REPAIRED,PERCENT_UNACC_GAS,EXCAV_DAMAGES,EXCAV_ONECALL,EXCAV_LOCATING,EXCAV_EXCAV,EXCAV_OTHER,EXCAV_TICKETS,EFV_INSTALLED_CY,EFV_IN_SYSTEM,SHUTOFF_VALVE_INSTALLED_CY,SHUTOFF_VALVE_IN_SYSTEM,ADDITIONAL_INFORMATION,PREPARERS_NAME,PREPARERS_TITLE,PREPARERS_PHONE,PREPARERS_FAX,PREPARERS_EMAIL,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
3/1/2022,2017,20188049,34910,18,"ABBYVILLE, CITY OF",PO BOX 100,ABBYVILLE,,KS,67510,P O BOX 100,ABBYVILLE,,KS,67510,Natural Gas,KS,Municipal Owned,0,0,0,3,0,0,0,0,0,0,3,0,0,0,51,1,0,0,0,0,0,52,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,0,3,35,0,0,51,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,52,0,0,0,52,0,0,0,3,0,0,0,0,0,0,,3,0,0,0,51,0,0,0,0,1,0,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0,0,0,0,0,21,0,0,0,0,,Richard Sims,agent,(620)286-5643,,cityofabbyville@hotmail.com,INITIAL,2/27/2018,2/27/2018,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20188481,39017,27,ABITA SPRINGS NAT GAS & WATER,22161 LEVEL STREET,ABITA SPRINGS,st tammany,LA,70420,"22161 LEVEL STREET, PO BOX 461",ABITA SPRINGS,US,LA,70420,Natural Gas,LA,Municipal Owned,0,0,0,26,2,0,0,0,0,,28,0,0,0,511,379,0,0,0,0,,890,0,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,28,0,0,0,28,30,0,511,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,890,0,0,0,0,890,0,0,0,0,0,0,0,0,28,0,,28,0,0,0,0,0,0,0,0,852,40,,892,,,,,1,,,,1,,,1,5,3,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,670,17,22,17,17,"The Town of Abita Springs previous Public Works Director did not properly report on leaks. New Director, Kristin Tortorich took over in 2019 and is going back to try to make corrections on previous annual reports. Leaks reported for calendar year 2015 have been evaluated and classified according to cause of leak and now, September 30, 2019 been properly recorded in our annual report.",Kristin Tortorich,Director of Public Works,(985)892-0711,,Ktortorich@abitaspringsla.gov,SUPPLEMENTAL,3/12/2018,9/30/2019,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20188007,34848,45,"ADAIRSVILLE, CITY OF",104 TOWNPARK DRIVE,KENNESAW,,GA,30144,116 PUBLIC SQUARE,ADAIRSVILLE,,GA,30103,Natural Gas,GA,Municipal Owned,0,0,0,29.08,58.65,0,0,0,0,,87.73,4,0,10,33,1619,0,0,0,0,,1666,0,11.22,9.83,8,0,0,29.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.53,13.62,1.5,0,0,58.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,54.75,23.45,9.5,0,0,87.7,100,0,47,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,31,2,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1633,31,2,0,0,1666,0,0,0,0,11.68,6,9,8.98,31,21.07,,87.73,6,0,0,0,50,72,433,283,671,151,,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,0,1583,20,1048,0,0,"This report prepared by :Maurice ChaneyMunicipal Gas Authority of Georgia104 Town Park Dr. Kennesaw, Ga. 30144 This report was compiled from information supplied by: Steve Smith, Gas Systems Manager, City of Adairsville",MAURICE CHANEY,agent,(770) 851-3094,678-819-0957,mchaney@gasauthority.com,INITIAL,2/26/2018,2/26/2018,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20188251,36894,49,TOWN OF ADAMSVILLE GAS DEPT,203 Sunrise Drive 231 East Main Street,Adamsville,,TN,38310,231 EAST MAIN STREET,ADAMSVILLE,,TN,38310,Natural Gas,TN,Municipal Owned,0,0,0,94.069,76.981,0,0,0,0,0,171.05,0,0,0,733,1289,0,0,0,0,0,2022,0,68.069,15,11,0,0,94.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.681,0.3,5,0,0,76.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,139.75,15.3,16,0,0,171.05,75,0,718,8,7,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289,0,0,0,0,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2007,8,7,0,0,2022,126,0,0,0,0,0,0,0,0,45.05,,171.05,1710,0,0,0,0,0,0,0,0,312,,2022,0,0,0,0,0,0,0,0,2,2,10,3,1,9,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,6,10,3,4,3,0,721,17,597,0,0,The City of Adamsville started our new mobile read for gas meters early in the summer of 2014. Within one year from installation many failures to transmit accurate readings were recorded; in fact so many that Master Meter believed the best solution was to accept responsibility and made an allowance to have modules in our inventory for replacement as needed. Adamsville Gas through our own audit has determined that the replacement modules continued to have the same failure rate as the originals. After much conversation Master Meter has made manufacturing changes to the placement of the magnet believing this change will resolve the issues Adamsville Gas has experienced with failure to transmit accurate readings. Adamsville is expecting their first delivery of the corrected modules in March 2018 with installation to begin immediately. Adamsville Gas is experiencing a larger percentage loss for the disposition of Natural Gas that can be directly attributed to issues related to accurate meter readings.,Paul Plunk,operator,(731) 632-4214,(731) 632-1980,pplunk@cityofadamsville.com,SUPPLEMENTAL,3/7/2018,10/11/2018,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20187954,34756,54,"ADEL GAS DEPT, CITY OF",P.O. Box 1530,Adel,Cook,GA,31620,P.O. BOX 1530,ADEL,,GA,31620,Natural Gas,GA,Municipal Owned,0,0,0,29.5,26.1,0,0,0,0,0,55.6,0,0,0,368,463,0,0,0,0,0,831,0,20,6,3.5,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8.78,10.32,0,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,20,14.78,13.82,0,0,55.6,100,0,357,11,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,820,11,0,0,0,831,0,0,0,0,15,4,4,0,6.5,26.1,,55.6,0,0,0,0,143,189,114,183,195,7,,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,1,85,1,1,The difference between fiqures in 2016 and 2017 is due to information gathered during the performance of leak surveys for the years 2015-2016 which covered 100% of the operators Natural Gas System.,Billy Donaldson,agent,(912)309-2402,(912)384-6119,bdonaldson01@windstream.net,INITIAL,2/22/2018,2/22/2018,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20188816,35971,81,"AGUILAR, TOWN OF",101 W Main Street P.O. Box 538,Aguilar,Las Animas,CO,81020,"101 W. MAIN, (POB 538)",AGUILAR,US,CO,81020,Natural Gas,CO,Municipal Owned,0,0,0,8,0.25,0,0,0,0,,8.25,0,0,0,233,34,0,0,0,0,,267,0,7,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7.25,1,0,0,0,8.25,40,0,233,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,267,0,0,0,0,267,0,0,0,0,8,0,0,0.25,0,0,,8.25,0,0,0,0,233,0,0,0,8,26,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,0,0,0,0,0,0,0,0,0,0,,Derek Marquez,operator,(719)859-3484,(719) 941-4395,aguilartownclerk@gmail.com,INITIAL,3/15/2018,3/15/2018,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20188733,35883,180,SPIRE ALABAMA INC.,2101 6th Avenue N,Birmingham,,AL,35203,2101 6TH AVE N,BIRMINGHAM,,AL,35203,Natural Gas,AL,Investor Owned,291.11,404.81,250.11,4491.32,5049.8,573.5,1.23,0,22.12,0,11084,37793,2338,76936,128668,302648,9,0,1059,0,0,549451,0.9,2878.5,1532.3,833.7,179.4,12.5,5437.3,0,0,1.2,0,0.1,0,1.3,0,0,0,0,0,0,0,0.2,121.6,255.1,157.8,18.9,19.9,573.5,0,0,0,0,0,0,0,4.3,3196.6,1428.5,420,0.4,0,5049.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,15.9,1.3,0,0,0,22.1,,0,0,0,0,0,0,0,10.3,6212.6,3218.4,1411.5,198.8,32.4,11084,123,141005,100404,2342,1552,348,84,245735,0,0,0,0,0,0,0,0,1059,0,0,0,0,1059,0,0,0,2,7,0,9,0,0,0,0,0,0,0,0,276290,24769,1514,75,0,302648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,141005,377753,27111,3068,430,84,549451,408.8,173.2,336.3,1743.4,1566.8,1268.6,1345.7,1866.3,1486.1,888.8,,11084,134508,0,0,39329,57815,56380,63537,85591,59028,53263,,549451,492,29,206,1,176,347,0,86,695,130,1826,246,226,913,15,54,131,17,205,0,37,120,0,2,360,67,1800,229,63,376,11,9,848,0,0.83,2035,314,403,615,703,270634,15066,131908,34,34,,Randy Wilson,Manager Pipeline Safety & Comp,(205) 326-2987,,randy.wilson@spireenergy.com,INITIAL,3/15/2018,3/15/2018,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20188597,35736,207,ALASKA PIPELINE CO,401 E. INTERNATIONAL AIRPORT ROAD,ANCHORAGE,,AK,99519-0288,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,,AK,99519,Natural Gas,AK,Investor Owned,0,0,0,53.45,0,0,0,0,0,,53.45,0,0,0,0,0,0,0,0,0,,0,0,0.044,2.324,45.345,5.737,0,53.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.044,2.324,45.345,5.737,0,53.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.44,1.84,3.29,1.53,0.32,0.02,,53.44,0,0,0,0,0,0,0,0,0,0,,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jeff Hebert,Engineer,(907) 334-7756,,Jeffrey.Hebert@enstarnaturalgas.com,INITIAL,3/13/2018,3/13/2018,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20187864,34628,225,ALBANY MUNICIPAL GAS CO,106 E Clay Street,Albany,Gentry,MO,64402,106 EAST CLAY STREET,ALBANY,US,MO,64402,Natural Gas,MO,Municipal Owned,0,0,0,20,6.25,0,0,0,0,,26.25,0,0,0,627,287,0,0,0,0,,914,0,14,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.25,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,6.25,3,0,0,26.25,60,0,618,9,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,6,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,899,15,0,0,0,914,0,0,0,0,17,3,1,0,1.5,3.75,,26.25,0,0,0,0,608,127,31,55,35,58,,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,208,6,42,0,2,,Steven Adams,operator,(660) 726-3935,(660) 726-5823,gas@albanymo.net,INITIAL,2/16/2018,2/16/2018,7100.1-1 (Rev. 01-2017)
3/1/2022,2017,20188690,43637,234,ALBANY WATER GAS & LIGHT COMMISSION,1726 Lily Pond Rd,Albany,Daugherty,GA,31701,916 NORTH FRONT ST,ALBANY,US,GA,31703,Natural Gas,GA,Municipal Owned,0,0,0,398.26,10.39,0,0,0,0,,408.65,0,0,0,17311,66,0,0,0,0,,17377,0,256.38,89.88,47,5,0,398.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,2.48,6.24,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,258.05,92.36,53.24,5,0,408.65,100,0,17183,106,20,2,0,17311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17245,110,20,2,0,17377,289.88,0,0,0,0,54.38,27,21,5,11.39,0,408.65,17311,0,0,0,0,0,0,0,0,66,0,17377,4,22,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,6,7,0,6482,21,63,6,6,"Information was provided by Ronnie Bowers, Gas Supt, and Bernard Hayes, Service Tech.",Chris Welborn,Agent,(678)739-6731,,cwelborn@gasauthority.com,SUPPLEMENTAL,3/14/2018,8/13/2021,7100.1-1 (Rev. 01-2017)
