DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_ZIP,HQ_ADDRESS_STREET,HQ_ADDRESS_CITY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_STATE,HQ_ADDRESS_ZIP,COMMODITY,STOP,OPERATOR_TYPE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_COATED,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_COATED,MMILES_PLASTIC,MMILES_CI,MMILES_DI,MMILES_CU,MMILES_OTHER,MMILES_RCI,MMILES_TOTAL,NUM_SRVS_STEEL_UNP_BARE,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_PLASTIC,NUM_SRVS_CI,NUM_SRVS_DI,NUM_SRVS_CU,NUM_SRVS_OTHER,NUM_SRVS_RCI,NUM_SRVCS_TOTAL,MMILES_STEEL_UNK,MMILES_STEEL_LT2IN,MMILES_STEEL_2IN_TO_4IN,MMILES_STEEL_4IN_TO_8IN,MMILES_STEEL_8IN_TO_12IN,MMILES_STEEL_GT12IN,MMILES_STEEL_TOTAL,MMILES_DI_UNK,MMILES_DI_LT2IN,MMILES_DI_2IN_TO_4IN,MMILES_DI_4IN_TO_8IN,MMILES_DI_8IN_TO_12IN,MMILES_DI_GT12IN,MMILES_DI_TOTAL,MMILES_CU_UNK,MMILES_CU_LT2IN,MMILES_CU_2IN_TO_4IN,MMILES_CU_4IN_TO_8IN,MMILES_CU_8IN_TO_12IN,MMILES_CU_GT12IN,MMILES_CU_TOTAL,MMILES_CI_WR_UNK,MMILES_CI_WR_LT2IN,MMILES_CI_WR_2IN_TO_4IN,MMILES_CI_WR_4IN_TO_8IN,MMILES_CI_WR_8IN_TO_12IN,MMILES_CI_WR_GT12IN,MMILES_CI_WR_TOTAL,MMILES_PLASTIC_UNK,MMILES_PLASTIC_LT2IN,MMILES_PLASTIC_2IN_TO_4IN,MMILES_PLASTIC_4IN_TO_8IN,MMILES_PLASTIC_8IN_TO_12IN,MMILES_PLASTIC_GT12IN,MMILES_PLASTIC_TOTAL,MMILES_PE_UNK,MMILES_PE_LT2IN,MMILES_PE_2IN_TO_4IN,MMILES_PE_4IN_TO_8IN,MMILES_PE_8IN_TO_12IN,MMILES_PE_GT12IN,MMILES_PE_TOTAL,MMILES_ABS_UNK,MMILES_ABS_LT2IN,MMILES_ABS_2IN_TO_4IN,MMILES_ABS_4IN_TO_8IN,MMILES_ABS_8IN_TO_12IN,MMILES_ABS_GT12IN,MMILES_ABS_TOTAL,MMILES_OTH_PLSTC_UNK,MMILES_OTH_PLSTC_LT2IN,MMILES_OTH_PLSTC_2IN_TO_4IN,MMILES_OTH_PLSTC_4IN_TO_8IN,MMILES_OTH_PLSTC_8IN_TO_12IN,MMILES_OTH_PLSTC_GT12IN,MMILES_OTH_PLSTC_TOTAL,MMILES_OTHER_UNK,MMILES_OTHER_LT2IN,MMILES_OTHER_2IN_TO_4IN,MMILES_OTHER_4IN_TO_8IN,MMILES_OTHER_8IN_TO_12IN,MMILES_OTHER_GT12IN,MMILES_OTHER_TOTAL,MMILES_OTHER_MATERIAL_DETAIL,MMILES_RCI_UNK,MMILES_RCI_LT2IN,MMILES_RCI_2IN_TO_4IN,MMILES_RCI_4IN_TO_8IN,MMILES_RCI_8IN_TO_12IN,MMILES_RCI_GT12IN,MMILES_RCI_TOTAL,MMILES_UNK_TOTAL,MMILES_LT2IN_TOTAL,MMILES_2IN_TO_4IN_TOTAL,MMILES_4IN_TO_8IN_TOTAL,MMILES_8IN_TO_12IN_TOTAL,MMILES_GT12IN_TOTAL,MMILES_PART_B2_TOTAL,AVERAGE_LENGTH,NUM_SRVS_STEEL_UNK,NUM_SRVS_STEEL_LT1IN,NUM_SRVS_STEEL_1IN_TO_2IN,NUM_SRVS_STEEL_2IN_TO_4IN,NUM_SRVS_STEEL_4IN_TO_8IN,NUM_SRVS_STEEL_GT8IN,NUM_SRVS_STEEL_TOTAL,NUM_SRVS_DI_UNK,NUM_SRVS_DI_LT1IN,NUM_SRVS_DI_1IN_TO_2IN,NUM_SRVS_DI_2IN_TO_4IN,NUM_SRVS_DI_4IN_TO_8IN,NUM_SRVS_DI_GT8IN,NUM_SRVS_DI_TOTAL,NUM_SRVS_CU_UNK,NUM_SRVS_CU_LT1IN,NUM_SRVS_CU_1IN_TO_2IN,NUM_SRVS_CU_2IN_TO_4IN,NUM_SRVS_CU_4IN_TO_8IN,NUM_SRVS_CU_GT8IN,NUM_SRVS_CU_TOTAL,NUM_SRVS_CI_WR_UNK,NUM_SRVS_CI_WR_LT1IN,NUM_SRVS_CI_WR_1IN_TO_2IN,NUM_SRVS_CI_WR_2IN_TO_4IN,NUM_SRVS_CI_WR_4IN_TO_8IN,NUM_SRVS_CI_WR_GT8IN,NUM_SRVS_CI_WR_TOTAL,NUM_SRVS_PLASTIC_UNK,NUM_SRVS_PLASTIC_LT1IN,NUM_SRVS_PLASTIC_1IN_TO_2IN,NUM_SRVS_PLASTIC_2IN_TO_4IN,NUM_SRVS_PLASTIC_4IN_TO_8IN,NUM_SRVS_PLASTIC_GT8IN,NUM_SRVS_PLASTIC_TOTAL,NUM_SRVS_PE_UNK,NUM_SRVS_PE_LT1IN,NUM_SRVS_PE_1IN_TO_2IN,NUM_SRVS_PE_2IN_TO_4IN,NUM_SRVS_PE_4IN_TO_8IN,NUM_SRVS_PE_GT8IN,NUM_SRVS_PE_TOTAL,NUM_SRVS_ABS_UNK,NUM_SRVS_ABS_LT1IN,NUM_SRVS_ABS_1IN_TO_2IN,NUM_SRVS_ABS_2IN_TO_4IN,NUM_SRVS_ABS_4IN_TO_8IN,NUM_SRVS_ABS_GT8IN,NUM_SRVS_ABS_TOTAL,NUM_SRVS_OTH_PLSTC_UNK,NUM_SRVS_OTH_PLSTC_LT1IN,NUM_SRVS_OTH_PLSTC_1IN_TO_2IN,NUM_SRVS_OTH_PLSTC_2IN_TO_4IN,NUM_SRVS_OTH_PLSTC_4IN_TO_8IN,NUM_SRVS_OTH_PLSTC_GT8IN,NUM_SRVS_OTH_PLSTC_TOTAL,NUM_SRVS_OTHER_UNK,NUM_SRVS_OTHER_LT1IN,NUM_SRVS_OTHER_1IN_TO_2IN,NUM_SRVS_OTHER_2IN_TO_4IN,NUM_SRVS_OTHER_4IN_TO_8IN,NUM_SRVS_OTHER_GT8IN,NUM_SRVS_OTHER_TOTAL,NUM_SRVS_OTHER_MATERIAL_DETAIL,NUM_SRVS_RCI_UNK,NUM_SRVS_RCI_LT1IN,NUM_SRVS_RCI_1IN_TO_2IN,NUM_SRVS_RCI_2IN_TO_4IN,NUM_SRVS_RCI_4IN_TO_8IN,NUM_SRVS_RCI_GT8IN,NUM_SRVS_RCI_TOTAL,NUM_SRVS_UNK_TOTAL,NUM_SRVS_LT1IN_TOTAL,NUM_SRVS_1IN_TO_2IN_TOTAL,NUM_SRVS_2IN_TO_4IN_TOTAL,NUM_SRVS_4IN_TO_8IN_TOTAL,NUM_SRVS_GT8IN_TOTAL,NUM_SRVS_PART_B3_TOTAL,MMILES_BY_DCD_UNK,MMILES_BY_DCD_PRE1940,MMILES_BY_DCD_1940_TO_1949,MMILES_BY_DCD_1950_TO_1959,MMILES_BY_DCD_1960_TO_1969,MMILES_BY_DCD_1970_TO_1979,MMILES_BY_DCD_1980_TO_1989,MMILES_BY_DCD_1990_TO_1999,MMILES_BY_DCD_2000_TO_2009,MMILES_BY_DCD_2010_TO_2019,MMILES_BY_DCD_2020_TO_2029,MMILES_BY_DCD_TOTAL,NUM_SRVS_BY_DCD_UNK,NUM_SRVS_BY_DCD_PRE1940,NUM_SRVS_BY_DCD_1940_TO_1949,NUM_SRVS_BY_DCD_1950_TO_1959,NUM_SRVS_BY_DCD_1960_TO_1969,NUM_SRVS_BY_DCD_1970_TO_1979,NUM_SRVS_BY_DCD_1980_TO_1989,NUM_SRVS_BY_DCD_1990_TO_1999,NUM_SRVS_BY_DCD_2000_TO_2009,NUM_SRVS_BY_DCD_2010_TO_2019,NUM_SRVS_BY_DCD_2020_TO_2029,NUM_SRVS_BY_DCD_TOTAL,TOTAL_LEAKS_COR_MAINS,TOTAL_LEAKS_NF_MAINS,TOTAL_LEAKS_EX_MAINS,TOTAL_LEAKS_OF_DAM_MAINS,TOTAL_LEAKS_MAT_WELD_MAINS,TOTAL_LEAKS_EQ_MAINS,TOTAL_LEAKS_OP_MAINS,TOTAL_LEAKS_OT_MAINS,TOTAL_LEAKS_COR_SRVS,TOTAL_LEAKS_NF_SRVS,TOTAL_LEAKS_EX_SRVS,TOTAL_LEAKS_OF_DAM_SRVS,TOTAL_LEAKS_MAT_WELD_SRVS,TOTAL_LEAKS_EQ_SRVS,TOTAL_LEAKS_OP_SRVS,TOTAL_LEAKS_OT_SRVS,TOTAL_HAZLEAKS_COR_MAINS,TOTAL_HAZLEAKS_NF_MAINS,TOTAL_HAZLEAKS_EX_MAINS,TOTAL_HAZLEAKS_OF_DAM_MAINS,TOTAL_HAZLEAKS_MAT_WELD_MAINS,TOTAL_HAZLEAKS_EQ_MAINS,TOTAL_HAZLEAKS_OP_MAINS,TOTAL_HAZLEAKS_OT_MAINS,TOTAL_HAZLEAKS_COR_SRVS,TOTAL_HAZLEAKS_NF_SRVS,TOTAL_HAZLEAKS_EX_SRVS,TOTAL_HAZLEAKS_OF_DAM_SRVS,TOTAL_HAZLEAKS_MAT_WELD_SRVS,TOTAL_HAZLEAKS_EQ_SRVS,TOTAL_HAZLEAKS_OP_SRVS,TOTAL_HAZLEAKS_OT_SRVS,KNOWN_LEAKS,FED_LAND_LEAKS_REPAIRED,PERCENT_UNACC_GAS,EXCAV_DAMAGES,EXCAV_ONECALL,EXCAV_LOCATING,EXCAV_EXCAV,EXCAV_OTHER,EXCAV_TICKETS,EFV_INSTALLED_CY,EFV_IN_SYSTEM,SHUTOFF_VALVE_INSTALLED_CY,SHUTOFF_VALVE_IN_SYSTEM,ADDITIONAL_INFORMATION,PREPARERS_NAME,PREPARERS_TITLE,PREPARERS_PHONE,PREPARERS_FAX,PREPARERS_EMAIL,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
3/1/2022,2018,20190110,37507,18,"ABBYVILLE, CITY OF",PO BOX 100,ABBYVILLE,,KS,67510,P O BOX 100,ABBYVILLE,,KS,67510,Natural Gas,KS,Municipal Owned,0,0,0,3,0,0,0,0,0,0,3,0,0,0,51,1,0,0,0,0,0,52,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,0,3,35,0,0,51,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,52,0,0,0,52,0,0,0,3,0,0,0,0,0,0,,3,0,0,0,51,0,0,0,0,1,0,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,0,0,0,Previous form submitted in error. 2% was not the correct percentage to be submitted. 0% is the correct amount of unaccounted gas.,Stacey Castle,city clerk,(620)286-5643,,cityofabbyville@hotmail.com,SUPPLEMENTAL,2/23/2019,2/25/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20190941,39018,27,ABITA SPRINGS NAT GAS & WATER,22161 Level Street,Abita Springs,St. Tammany Parish,LA,70420,"22161 LEVEL STREET, PO BOX 461",ABITA SPRINGS,,LA,70420,Natural Gas,LA,Municipal Owned,0,0,0,26,2,0,0,0,0,0,28,0,0,0,511,398,0,0,0,0,0,909,0,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,28,0,0,0,28,30,0,511,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,909,0,0,0,0,909,0,0,0,0,0,0,0,0,28,0,,28,0,0,0,0,0,0,0,0,852,59,,911,1,,,,1,,,,,,1,6,,1,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,2,0,788,19,41,8,25,"The Town of Abita Springs previous Public Works Director did not properly report on leaks. New Director, Kristin Tortorich took over in 2019 and is going back to try to make corrections on previous annual reports. Leaks reported for calendar year 2015 have been evaluated and classified according to cause of leak and now, September 30, 2019 been properly recorded in our annual report.",Kristin Tortorich,Director of Public Works,(985)892-0711,,Ktortorich@abitaspringsla.gov,SUPPLEMENTAL,3/15/2019,9/30/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20191017,38473,45,"ADAIRSVILLE, CITY OF",104 TOWNPARK DRIVE,KENNESAW,,GA,30144,116 PUBLIC SQUARE,ADAIRSVILLE,,GA,30103,Natural Gas,GA,Municipal Owned,0,0,0,23.19,65.12,0,0,0,0,0,88.31,1,0,10,33,1568,0,0,0,0,0,1612,0,6.83,8.02,8.34,0,0,23.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.14,19.48,1.5,0,0,65.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,50.97,27.5,9.84,0,0,88.31,100,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532,34,2,0,0,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1576,34,2,0,0,1612,0,0,0,0,3.44,6,9,8.98,31,29.89,,88.31,3,0,0,0,50,72,356,283,671,177,,1612,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-2.9,1,0,0,0,1,1594,23,1051,0,0,"This report prepared by :Maurice Chaney Municipal Gas Authority of Georgia 104 Town Park Dr. Kennesaw, Ga. 30144 This report was compiled from information supplied by: Steve Smith, Gas Systems Manager, City of Adairsville",MAURICE CHANEY,Senior Analyst,(770) 851-3094,678-819-0957,mchaney@gasauthority.com,INITIAL,3/15/2019,3/15/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20191076,38671,49,TOWN OF ADAMSVILLE GAS DEPT,203 Sunrise Drive 231 East Main Street,Adamsville,,TN,38310,"231 EAST MAIN STREET, P O BOX 301",ADAMSVILLE,,TN,38310,Natural Gas,TN,Municipal Owned,0,0,0,94.069,76.981,0,0,0,0,0,171.05,0,0,0,732,1305,0,0,0,0,0,2037,0,68.069,15,11,0,0,94.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.681,0.3,5,0,0,76.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,139.75,15.3,16,0,0,171.05,75.08,0,717,8,7,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,0,0,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2022,8,7,0,0,2037,126,0,0,0,0,0,0,0,0,45.05,,171.05,1710,0,0,0,0,0,0,0,0,327,,2037,0,0,2,1,0,2,0,0,0,1,5,2,2,10,0,0,0,0,2,1,0,0,0,0,0,1,5,2,1,0,0,0,0,0,4,7,2,2,2,1,741,15,612,2,2,,Paul Plunk,operator,(731) 632-4214,(731) 632-1980,pplunk@cityofadamsville.com,SUPPLEMENTAL,3/19/2019,4/3/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20190555,37985,54,"ADEL GAS DEPT, CITY OF",5261 CARLTON RIDGE CIRCLE,HAHIRA,Lowdnes,GA,31632,P.O. BOX 1530,ADEL,,GA,31620,Natural Gas,GA,Municipal Owned,,,,29.5,26.1,0,0,0,0,0,55.6,,,,360,469,0,0,0,0,0,829,0,20,6,3.5,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.78,10.32,0,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,14.78,13.82,0,0,55.6,100,0,357,3,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,826,3,0,0,0,829,0,0,0,0,15,4,4,0,6.5,26.1,,55.6,0,0,0,0,143,189,112,183,195,7,,829,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,945,6,91,0,0,,Billy Donaldson,agent,(912)309-2402,(912)384-6119,bdonaldson01@windstream.net,INITIAL,3/12/2019,3/12/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20191104,38592,81,"AGUILAR, TOWN OF",101 W Main Street,Aguilar,Las Animas,CO,81020,101 W. MAIN,AGUILAR,,CO,81020,Natural Gas,CO,Municipal Owned,0,0,0,8,0.25,0,0,0,0,0,8.25,0,0,0,233,36,0,0,0,0,0,269,0,7,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7.25,1,0,0,0,8.25,40,0,233,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,269,0,0,0,0,269,0,0,0,0,8,0,0,0.25,0,0,,8.25,0,0,0,0,235,0,0,0,8,26,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,0,0,0,0,0,0,1,269,0,0,,Tyra Avila,Town Administrator,(719)859-3484,(719)941-4395,aguilartownclerk@gmail.com,INITIAL,3/26/2019,3/26/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20190957,39062,180,SPIRE ALABAMA INC.,2101 6th Ave N,Birmingham,,AL,35203-2749,2101 6TH AVE N,BIRMINGHAM,,AL,35203,Natural Gas,AL,Investor Owned,287.04,386.13,246.8,4494.13,5182.8,509,1.3,0,22.1,0,11129.3,37488,2323,76321,128433,305199,7,0,1050,0,0,550821,0.9,2848,1532.4,837.9,182.5,12.4,5414.1,0,0,1.2,0,0.1,0,1.3,0,0,0,0,0,0,0,0.2,102.6,223.5,147.6,17.4,17.7,509,0,0,0,0,0,0,0,4.3,3264,1468,446.1,0.4,0,5182.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,15.9,1.3,0,0,0,22.1,,0,0,0,0,0,0,0,10.3,6230.5,3226.4,1431.6,200.4,30.1,11129.3,123,141005,99399,2184,1546,347,84,244565,0,0,0,0,0,0,0,0,1050,0,0,0,0,1050,0,0,0,2,5,0,7,0,0,0,0,0,0,0,0,278644,24964,1516,75,0,305199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,141005,379093,27148,3064,427,84,550821,408.8,173.2,303.2,1700.9,1559.6,1263.1,1333.5,1859.3,1485.3,1042.4,,11129.3,133879,0,0,39000,57586,56151,62943,85236,58825,57201,,550821,277,51,208,4,230,236,4,24,584,92,1665,218,239,854,14,30,95,35,202,3,77,115,3,0,326,70,1640,198,92,450,10,6,852,0,1.56,1880,595,518,516,251,258836,16523,148431,12,46,"After additional review of the data, the report is being updated to reflect changes in Part D to the number of excavation damages by apparent root cause, and the number of excavation tickets.",Randy Wilson,,(205) 326-2987,,randy.wilson@spireenergy.com,SUPPLEMENTAL,3/15/2019,11/12/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20190464,37887,207,ALASKA PIPELINE CO,401 E. INTERNATIONAL AIRPORT RD,ANCHORAGE,,AK,99518,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,,AK,99519,Natural Gas,AK,Investor Owned,0,0,0,56.69,0,0,0,0,0,0,56.69,0,0,0,0,0,0,0,0,0,0,0,0,0.031,2.394,48.528,5.737,0,56.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.031,2.394,48.528,5.737,0,56.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,47.85,2.63,3.21,2.01,0.29,0.61,,56.69,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,36,0,0,0,0,,Rusty Allen,Compliance Engineer,(907)334-7765,,rusty.allen@enstarnaturalgas.com,INITIAL,3/8/2019,3/8/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20199271,37294,225,ALBANY MUNICIPAL GAS CO,106 E Clay Street,Albany,,MO,64402,106 EAST CLAY STREET,ALBANY,,MO,64402,Natural Gas,MO,Municipal Owned,0,0,0,20,6.25,0,0,0,0,,26.25,0,0,0,624,287,0,0,0,0,,911,0,14,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.25,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,6.25,3,0,0,26.25,60,0,615,9,0,0,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,6,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,897,15,0,0,0,912,0,0,0,0,17,3,1,0,1.5,3.75,,26.25,0,0,0,0,605,127,31,55,35,59,,912,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,269,2,44,1,3,,Steven Adams,operator,(660) 726-3935,(660) 726-5823,gas@albanymo.net,INITIAL,2/12/2019,2/12/2019,7100.1-1 (Rev. 10-2018)
3/1/2022,2018,20190576,38008,234,ALBANY WATER GAS & LIGHT COMMISSION,104 TOWN PARK AVENUE,KENNESAW,,GA,30144,916 NORTH FRONT ST,ALBANY,,GA,31703,Natural Gas,GA,Municipal Owned,0,0,0,398.26,18.56,0,0,0,0,0,416.82,0,0,0,17211,78,0,0,0,0,0,17289,0,256.38,89.88,47,5,0,398.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,5.26,8.37,0,0,18.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,261.31,95.14,55.37,5,0,416.82,100,0,17083,106,20,2,0,17211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,7,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17153,113,21,2,0,17289,289.88,0,0,0,0,54.38,27,21,5,19.56,,416.82,17211,0,0,0,0,0,0,0,0,78,,17289,0,0,0,0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,1,0,0,1,0,5083,11,74,1,1,"Data provided by Albany Staff, Ronnie Bowers and Bernard Hayes.",Chris Welborn,Agent,(678)739-6731,,cwelborn@gasauthority.com,INITIAL,3/12/2019,3/12/2019,7100.1-1 (Rev. 10-2018)
