DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,PARTCECINC,PARTCECPPE,PARTCECSTANK,PARTCECOTHLOC,PARTCECTOTAL,PARTCICINC,PARTCICPPE,PARTCICSTANK,PARTCICOTHLOC,PARTCICTOTAL,PARTCNFDMGINC,PARTCNFDMGPPE,PARTCNFDMGSTANK,PARTCNFDMGOTHLOC,PARTCNFDMGTOTAL,PARTCEXDMGINC,PARTCEXDMGPPE,PARTCEXDMGSTANK,PARTCEXDMGOTHLOC,PARTCEXDMGTOTAL,PARTCOUTDMGINC,PARTCOUTDMGPPE,PARTCOUTDMGSTANK,PARTCOUTDMGOTHLOC,PARTCOUTDMGTOTAL,PARTCCIFINC,PARTCCIFPPE,PARTCCIFSTANK,PARTCCIFOTHLOC,PARTCCIFTOTAL,PARTCMFGINC,PARTCMFGIFPPE,PARTCMFGSTANK,PARTCMFGOTHLOC,PARTCMFGTOTAL,PARTCLOWTEMPINC,PARTCLOWTEMPPPE,PARTCLOWTEMPSTANK,PARTCLOWTEMPOTHLOC,PARTCLOWTEMPTOTAL,PARTCEQUIPFINC,PARTCEQUIPFPPE,PARTCEQUIPFSTANK,PARTCEQUIPFOTHLOC,PARTCEQUIPFTOTAL,PARTCINOPERINC,PARTCINOPERPPE,PARTCINOPERSTANK,PARTCINOPEROTHLOC,PARTCINOPERTOTAL,PARTCOCAUSEINC,PARTCOCAUSEPPE,PARTCOCAUSESTANK,PARTCOCAUSEOTHLOC,PARTCOCAUSETOTAL,PARTCINCTOTAL,PARTCPPETOTAL,PARTCSTANKTOTAL,PARTCOTHLOCTOTAL,PARTCTOTAL,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,,,
03/01/22,2019,20200090,1064,180,SPIRE ALABAMA INC.,2168,EAST LAUDERDALE LNG FACILITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,3/14/2020,3/14/2020,,,
03/01/22,2019,20200090,1064,180,SPIRE ALABAMA INC.,2169,COOSADA LNG FACILITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,3/14/2020,3/14/2020,,,
03/01/22,2019,20200090,1064,180,SPIRE ALABAMA INC.,2170,PINSON LNG FACILITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,3/14/2020,3/14/2020,,,
03/01/22,2019,20200090,1064,180,SPIRE ALABAMA INC.,2171,DOUBLE SPRINGS LNG FACILITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,3/14/2020,3/14/2020,,,
03/01/22,2019,20200024,979,792,ATLANTA GAS LIGHT CO,2080,CHEROKEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,2/16/2020,2/16/2020,,,
03/01/22,2019,20200024,979,792,ATLANTA GAS LIGHT CO,2081,MACON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,2/16/2020,2/16/2020,,,
03/01/22,2019,20200024,979,792,ATLANTA GAS LIGHT CO,2082,RIVERDALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,2/16/2020,2/16/2020,,,
03/01/22,2019,20200017,970,909,"AUSTELL NATURAL GAS SYSTEM, CITY OF",2041,AGS LNG PLANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,2/5/2020,2/5/2020,,,
03/01/22,2019,20200085,1059,1088,BALTIMORE GAS AND ELECTRIC COMPANY,2163,SPRING GARDENS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,3/13/2020,3/13/2020,,,
03/01/22,2019,20200084,1058,1209,COLUMBIA GAS OF MASSACHUSETTS,2209,MARSHFIELD LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,3/13/2020,3/13/2020,,,
03/01/22,2019,20200084,1058,1209,COLUMBIA GAS OF MASSACHUSETTS,2210,LAWRENCE LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INITIAL,3/13/2020,3/13/2020,,,
